,fips,date,year,month,day_of_week
0,2,2021-03-07,2021,3,6
1,1,2021-03-07,2021,3,6
2,5,2021-03-07,2021,3,6
3,60,2021-03-07,2021,3,6
4,4,2021-03-07,2021,3,6
5,6,2021-03-07,2021,3,6
6,8,2021-03-07,2021,3,6
7,9,2021-03-07,2021,3,6
8,11,2021-03-07,2021,3,6
9,10,2021-03-07,2021,3,6
10,12,2021-03-07,2021,3,6
11,13,2021-03-07,2021,3,6
12,66,2021-03-07,2021,3,6
13,15,2021-03-07,2021,3,6
14,19,2021-03-07,2021,3,6
15,16,2021-03-07,2021,3,6
16,17,2021-03-07,2021,3,6
17,18,2021-03-07,2021,3,6
18,20,2021-03-07,2021,3,6
19,21,2021-03-07,2021,3,6
20,22,2021-03-07,2021,3,6
21,25,2021-03-07,2021,3,6
22,24,2021-03-07,2021,3,6
23,23,2021-03-07,2021,3,6
24,26,2021-03-07,2021,3,6
25,27,2021-03-07,2021,3,6
26,29,2021-03-07,2021,3,6
27,69,2021-03-07,2021,3,6
28,28,2021-03-07,2021,3,6
29,30,2021-03-07,2021,3,6
30,37,2021-03-07,2021,3,6
31,38,2021-03-07,2021,3,6
32,31,2021-03-07,2021,3,6
33,33,2021-03-07,2021,3,6
34,34,2021-03-07,2021,3,6
35,35,2021-03-07,2021,3,6
36,32,2021-03-07,2021,3,6
37,36,2021-03-07,2021,3,6
38,39,2021-03-07,2021,3,6
39,40,2021-03-07,2021,3,6
40,41,2021-03-07,2021,3,6
41,42,2021-03-07,2021,3,6
42,72,2021-03-07,2021,3,6
43,44,2021-03-07,2021,3,6
44,45,2021-03-07,2021,3,6
45,46,2021-03-07,2021,3,6
46,47,2021-03-07,2021,3,6
47,48,2021-03-07,2021,3,6
48,49,2021-03-07,2021,3,6
49,51,2021-03-07,2021,3,6
50,78,2021-03-07,2021,3,6
51,50,2021-03-07,2021,3,6
52,53,2021-03-07,2021,3,6
53,55,2021-03-07,2021,3,6
54,54,2021-03-07,2021,3,6
55,56,2021-03-07,2021,3,6
56,2,2021-03-06,2021,3,5
57,1,2021-03-06,2021,3,5
58,5,2021-03-06,2021,3,5
59,60,2021-03-06,2021,3,5
60,4,2021-03-06,2021,3,5
61,6,2021-03-06,2021,3,5
62,8,2021-03-06,2021,3,5
63,9,2021-03-06,2021,3,5
64,11,2021-03-06,2021,3,5
65,10,2021-03-06,2021,3,5
66,12,2021-03-06,2021,3,5
67,13,2021-03-06,2021,3,5
68,66,2021-03-06,2021,3,5
69,15,2021-03-06,2021,3,5
70,19,2021-03-06,2021,3,5
71,16,2021-03-06,2021,3,5
72,17,2021-03-06,2021,3,5
73,18,2021-03-06,2021,3,5
74,20,2021-03-06,2021,3,5
75,21,2021-03-06,2021,3,5
76,22,2021-03-06,2021,3,5
77,25,2021-03-06,2021,3,5
78,24,2021-03-06,2021,3,5
79,23,2021-03-06,2021,3,5
80,26,2021-03-06,2021,3,5
81,27,2021-03-06,2021,3,5
82,29,2021-03-06,2021,3,5
83,69,2021-03-06,2021,3,5
84,28,2021-03-06,2021,3,5
85,30,2021-03-06,2021,3,5
86,37,2021-03-06,2021,3,5
87,38,2021-03-06,2021,3,5
88,31,2021-03-06,2021,3,5
89,33,2021-03-06,2021,3,5
90,34,2021-03-06,2021,3,5
91,35,2021-03-06,2021,3,5
92,32,2021-03-06,2021,3,5
93,36,2021-03-06,2021,3,5
94,39,2021-03-06,2021,3,5
95,40,2021-03-06,2021,3,5
96,41,2021-03-06,2021,3,5
97,42,2021-03-06,2021,3,5
98,72,2021-03-06,2021,3,5
99,44,2021-03-06,2021,3,5
100,45,2021-03-06,2021,3,5
101,46,2021-03-06,2021,3,5
102,47,2021-03-06,2021,3,5
103,48,2021-03-06,2021,3,5
104,49,2021-03-06,2021,3,5
105,51,2021-03-06,2021,3,5
106,78,2021-03-06,2021,3,5
107,50,2021-03-06,2021,3,5
108,53,2021-03-06,2021,3,5
